"id","year","stint","team","lg","g","ab","r","h","X2b","X3b","hr","rbi","sb","cs","bb","so","ibb","hbp","sh","sf","gidp","batting","decade"
"stewada01",1986,2,"OAK","AL",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"stiebda01",1986,1,"TOR","AL",37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"sundbji01",1986,1,"KCA","AL",140,429,41,91,9,1,12,42,1,1,57,91,1,0,2,3,7,0.212121212121212,"80s"
"suttodo01",1986,1,"CAL","AL",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"swindgr01",1986,1,"CLE","AL",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"tananfr01",1986,1,"DET","AL",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"tartada01",1986,1,"SEA","AL",137,511,76,138,25,6,25,96,4,8,61,157,2,1,2,3,10,0.270058708414873,"80s"
"thomago01",1986,1,"SEA","AL",57,170,24,33,4,0,10,26,1,2,27,55,3,1,1,0,2,0.194117647058824,"80s"
"thomago01",1986,2,"ML4","AL",44,145,21,26,4,1,6,10,2,2,31,50,1,0,2,0,3,0.179310344827586,"80s"
"thornan01",1986,1,"CLE","AL",120,401,49,92,14,0,17,66,4,1,65,67,0,1,0,8,11,0.229426433915212,"80s"
"trammal01",1986,1,"DET","AL",151,574,107,159,33,7,21,75,25,12,59,57,4,5,11,4,7,0.277003484320557,"80s"
"violafr01",1986,1,"MIN","AL",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"washicl01",1986,2,"NYA","AL",54,135,19,32,5,0,6,16,6,1,7,33,0,2,0,0,3,0.237037037037037,"80s"
"whitalo01",1986,1,"DET","AL",144,584,95,157,26,6,20,73,13,8,63,70,5,0,0,4,20,0.268835616438356,"80s"
"whitede03",1986,1,"CAL","AL",29,51,8,12,1,1,1,3,6,0,6,8,0,0,0,0,0,0.235294117647059,"80s"
"whitefr01",1986,1,"KCA","AL",151,566,76,154,37,3,22,84,4,4,43,88,5,2,2,7,10,0.27208480565371,"80s"
"whitsed01",1986,1,"NYA","AL",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"whitter01",1986,1,"TOR","AL",131,395,48,106,19,2,16,56,0,1,35,39,3,0,0,3,11,0.268354430379747,"80s"
"wilcomi01",1986,1,"SEA","AL",13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"wilsowi02",1986,1,"KCA","AL",156,631,77,170,20,7,9,44,34,8,31,97,1,9,3,1,6,0.269413629160063,"80s"
"winfida01",1986,1,"NYA","AL",154,565,90,148,31,5,24,104,6,5,77,106,9,2,2,6,20,0.261946902654867,"80s"
"wittbo01",1986,1,"TEX","AL",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"yeagest01",1986,1,"SEA","AL",50,130,10,27,2,0,2,12,0,0,12,23,0,0,2,1,5,0.207692307692308,"80s"
"yountro01",1986,1,"ML4","AL",140,522,82,163,31,7,9,46,14,5,62,73,7,4,5,2,9,0.312260536398467,"80s"
"aguilri01",1986,1,"NYN","NL",32,51,4,8,0,0,2,6,0,0,3,12,0,0,3,0,0,0.156862745098039,"80s"
"alexado01",1986,2,"ATL","NL",18,38,2,8,1,0,0,5,0,0,0,8,0,0,6,1,2,0.210526315789474,"80s"
"almonbi01",1986,1,"PIT","NL",102,196,29,43,7,2,7,27,11,4,30,38,2,0,1,3,5,0.219387755102041,"80s"
"anderla02",1986,1,"PHI","NL",10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,"80s"
"anderla02",1986,2,"HOU","NL",38,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,"80s"
"ashbyal01",1986,1,"HOU","NL",120,315,24,81,15,0,7,38,1,0,39,56,9,0,1,6,7,0.257142857142857,"80s"
"assenpa01",1986,1,"ATL","NL",61,6,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,"80s"
"basske01",1986,1,"HOU","NL",157,591,83,184,33,5,20,79,22,13,38,72,11,6,1,4,15,0.311336717428088,"80s"
"bedrost01",1986,1,"PHI","NL",68,5,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.2,"80s"
"bellbu01",1986,1,"CIN","NL",155,568,89,158,29,3,20,75,2,8,73,49,4,5,3,6,14,0.278169014084507,"80s"
"bellira01",1986,1,"PIT","NL",117,309,33,72,5,2,0,31,12,2,26,54,6,3,11,1,8,0.233009708737864,"80s"
"berenju01",1986,1,"SFN","NL",46,7,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0.142857142857143,"80s"
"bielemi01",1986,1,"PIT","NL",31,48,3,3,0,0,0,1,0,0,2,26,0,0,4,0,0,0.0625,"80s"
"bluevi01",1986,1,"SFN","NL",28,43,3,4,1,0,1,3,0,0,6,20,0,0,4,0,0,0.0930232558139535,"80s"
"bondsba01",1986,1,"PIT","NL",113,413,72,92,26,3,16,48,36,7,65,102,2,2,2,2,4,0.222760290556901,"80s"
"bonilbo01",1986,2,"PIT","NL",63,192,28,46,6,2,1,17,4,4,29,39,1,1,3,0,5,0.239583333333333,"80s"
"bosleth01",1986,1,"CHN","NL",87,120,15,33,4,1,1,9,3,0,18,24,3,0,1,0,3,0.275,"80s"
"brookhu01",1986,1,"MON","NL",80,306,50,104,18,5,14,58,4,2,25,60,3,2,0,5,11,0.339869281045752,"80s"
"burrira01",1986,1,"SLN","NL",23,27,0,4,3,0,0,7,0,0,0,9,0,0,0,0,0,0.148148148148148,"80s"
"cabelen01",1986,1,"LAN","NL",107,277,27,71,11,0,2,29,10,4,14,26,2,2,2,3,5,0.256317689530686,"80s"
"carltst01",1986,1,"PHI","NL",16,34,3,7,1,0,0,5,0,0,1,4,0,0,1,0,2,0.205882352941176,"80s"
"carltst01",1986,2,"SFN","NL",6,11,1,2,0,0,1,3,0,0,0,3,0,0,0,0,1,0.181818181818182,"80s"
"cartega01",1986,1,"NYN","NL",132,490,81,125,14,2,24,105,1,0,62,63,9,6,0,15,21,0.255102040816327,"80s"
"cedence01",1986,1,"LAN","NL",37,78,5,18,2,1,0,6,1,1,7,13,0,0,2,0,0,0.230769230769231,"80s"
"ceyro01",1986,1,"CHN","NL",97,256,42,70,21,0,13,36,0,0,44,66,1,3,1,2,5,0.2734375,"80s"
"chambch01",1986,1,"ATL","NL",97,122,13,38,8,0,2,14,0,2,15,24,4,0,0,1,2,0.311475409836066,"80s"
"clarkja01",1986,1,"SLN","NL",65,232,34,55,12,2,9,23,1,1,45,61,4,1,0,1,4,0.237068965517241,"80s"
"clarkwi02",1986,1,"SFN","NL",111,408,66,117,27,2,11,41,4,7,34,76,10,3,9,4,3,0.286764705882353,"80s"
"conceda01",1986,1,"CIN","NL",90,311,42,81,13,2,3,30,13,2,26,43,1,0,5,4,13,0.260450160771704,"80s"
"cruzjo01",1986,1,"HOU","NL",141,479,48,133,22,4,10,72,3,4,55,86,12,0,0,2,9,0.277661795407098,"80s"
"darliro01",1986,1,"NYN","NL",34,81,4,8,2,0,0,0,0,0,3,29,0,0,10,0,0,0.0987654320987654,"80s"
"darwida01",1986,2,"HOU","NL",12,16,0,1,0,0,0,0,0,0,0,12,0,0,2,0,0,0.0625,"80s"
"daultda01",1986,1,"PHI","NL",49,138,18,31,4,0,8,21,2,3,38,41,3,1,2,2,1,0.22463768115942,"80s"
"davisch01",1986,1,"SFN","NL",153,526,71,146,28,3,13,70,16,13,84,96,23,1,2,5,11,0.277566539923954,"80s"
"daviser01",1986,1,"CIN","NL",132,415,97,115,15,3,27,71,80,11,68,100,5,1,0,3,6,0.27710843373494,"80s"
"davisma01",1986,1,"SFN","NL",67,8,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0.125,"80s"
"dawsoan01",1986,1,"MON","NL",130,496,65,141,32,2,20,78,18,12,37,79,11,6,1,6,13,0.284274193548387,"80s"
"deleojo01",1986,1,"PIT","NL",9,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"80s"
"driesda01",1986,1,"SFN","NL",15,16,2,3,2,0,0,0,0,0,4,4,1,0,0,0,0,0.1875,"80s"
"driesda01",1986,2,"HOU","NL",17,24,5,7,1,0,1,3,0,0,5,2,1,0,0,0,0,0.291666666666667,"80s"
"duncama01",1986,1,"LAN","NL",109,407,47,93,7,0,8,30,48,13,30,78,1,2,5,1,6,0.228501228501229,"80s"
"dunstsh01",1986,1,"CHN","NL",150,581,66,145,37,3,17,68,13,11,21,114,5,3,4,2,5,0.249569707401033,"80s"
"eckerde01",1986,1,"CHN","NL",33,69,7,11,3,0,2,10,0,0,1,34,0,0,2,1,0,0.159420289855072,"80s"
"fernasi01",1986,1,"NYN","NL",32,68,6,11,3,0,0,4,1,0,3,23,0,0,6,0,2,0.161764705882353,"80s"
"foleyto02",1986,1,"PHI","NL",39,61,8,18,2,1,0,5,2,0,10,11,1,0,0,1,1,0.295081967213115,"80s"
"foleyto02",1986,2,"MON","NL",64,202,18,52,13,2,1,18,8,3,20,26,5,0,2,3,3,0.257425742574257,"80s"
"forscbo01",1986,1,"SLN","NL",34,76,7,13,4,1,2,12,0,0,0,24,0,0,11,1,1,0.171052631578947,"80s"
"fostege01",1986,1,"NYN","NL",72,233,28,53,6,1,13,38,1,1,21,53,1,0,0,2,7,0.227467811158798,"80s"
"francjo01",1986,1,"CIN","NL",74,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"80s"
"galaran01",1986,1,"MON","NL",105,321,39,87,13,0,10,42,6,5,30,79,5,3,1,1,8,0.271028037383178,"80s"
"garbege01",1986,1,"ATL","NL",61,6,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0.166666666666667,"80s"
"garneph01",1986,1,"HOU","NL",107,313,43,83,14,3,9,41,12,6,30,45,2,1,0,3,14,0.26517571884984,"80s"
"garvest01",1986,1,"SDN","NL",155,557,58,142,22,0,21,81,1,2,23,72,5,1,0,3,18,0.254937163375224,"80s"
"goodedw01",1986,1,"NYN","NL",33,81,5,7,0,1,0,4,0,0,2,16,0,1,13,0,3,0.0864197530864197,"80s"
"gossari01",1986,1,"SDN","NL",45,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,"80s"
"gottji01",1986,1,"SFN","NL",9,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"80s"
"griffke01",1986,2,"ATL","NL",80,292,36,90,15,3,12,32,12,7,20,43,4,0,0,1,2,0.308219178082192,"80s"
"grossgr01",1986,1,"PHI","NL",87,101,11,25,5,0,0,8,1,0,21,11,7,1,1,1,4,0.247524752475248,"80s"
"grosske01",1986,1,"PHI","NL",37,80,6,15,4,1,1,5,1,0,1,22,0,0,9,0,1,0.1875,"80s"
"guerrpe01",1986,1,"LAN","NL",31,61,7,15,3,0,5,10,0,0,2,19,0,1,0,0,1,0.245901639344262,"80s"
"gullibi01",1986,1,"CIN","NL",37,79,3,6,0,0,0,2,0,0,3,15,0,0,9,0,3,0.0759493670886076,"80s"
"gwynnto01",1986,1,"SDN","NL",160,642,107,211,33,7,14,59,37,9,52,35,11,3,2,2,20,0.328660436137072,"80s"
"hatchbi01",1986,1,"HOU","NL",127,419,55,108,15,4,6,36,38,14,22,52,1,5,6,1,3,0.257756563245823,"80s"
"heathmi02",1986,1,"SLN","NL",65,190,19,39,8,1,4,25,2,3,23,36,4,1,1,1,5,0.205263157894737,"80s"
"hernake01",1986,1,"NYN","NL",149,551,94,171,34,1,13,83,2,1,94,69,9,4,0,3,14,0.310344827586207,"80s"
"herrto01",1986,1,"SLN","NL",152,559,48,141,30,4,2,61,22,8,73,75,10,5,6,4,8,0.252236135957066,"80s"
"hershor01",1986,1,"LAN","NL",37,71,4,17,3,0,0,8,0,1,1,17,0,0,10,0,1,0.23943661971831,"80s"
"honeyri01",1986,1,"LAN","NL",32,43,3,3,1,0,0,3,0,0,8,11,0,0,6,0,0,0.0697674418604651,"80s"
"jacksmi02",1986,1,"PHI","NL",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"kneppbo01",1986,1,"HOU","NL",42,91,2,9,2,1,0,1,0,0,0,44,0,0,4,0,0,0.0989010989010989,"80s"
"lapoida01",1986,2,"SDN","NL",24,8,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,"80s"
"larkiba01",1986,1,"CIN","NL",41,159,27,45,4,3,3,19,8,0,9,21,1,0,0,1,2,0.283018867924528,"80s"
"leonaje01",1986,1,"SFN","NL",89,341,48,95,11,3,6,42,16,3,20,62,1,3,1,3,4,0.278592375366569,"80s"
"lopesda01",1986,1,"CHN","NL",59,157,38,47,8,2,6,22,17,6,31,16,0,2,0,1,6,0.299363057324841,"80s"
"lopesda01",1986,2,"HOU","NL",37,98,11,23,2,1,1,13,8,2,12,9,0,0,2,1,3,0.23469387755102,"80s"
"maddoga01",1986,1,"PHI","NL",6,7,1,3,0,0,0,1,0,1,2,1,0,0,0,0,0,0.428571428571429,"80s"
"maddugr01",1986,1,"CHN","NL",6,12,0,4,0,0,0,0,0,0,0,3,0,0,1,0,0,0.333333333333333,"80s"
"maddumi01",1986,1,"PHI","NL",16,22,0,1,0,0,0,1,0,0,1,7,0,0,4,0,0,0.0454545454545455,"80s"
"madlobi01",1986,1,"LAN","NL",111,379,38,106,17,0,10,60,3,3,30,43,4,5,1,6,7,0.279683377308707,"80s"
"magadda01",1986,1,"NYN","NL",10,18,3,8,0,0,0,3,0,0,3,1,0,0,0,0,1,0.444444444444444,"80s"
"maldoca01",1986,1,"SFN","NL",133,405,49,102,31,3,18,85,4,4,20,77,4,3,0,4,12,0.251851851851852,"80s"
"martida01",1986,1,"CHN","NL",53,108,13,15,1,1,1,7,4,2,6,22,0,1,0,1,1,0.138888888888889,"80s"
"martide01",1986,2,"MON","NL",19,30,1,3,2,0,0,3,0,0,1,14,0,0,0,0,0,0.1,"80s"
"matthga01",1986,1,"CHN","NL",123,370,49,96,16,1,21,46,3,2,60,59,1,0,0,2,15,0.259459459459459,"80s"
"mazzile01",1986,1,"PIT","NL",61,93,18,21,2,1,1,8,3,3,26,25,1,0,0,1,2,0.225806451612903,"80s"
"mazzile01",1986,2,"NYN","NL",39,58,10,16,3,0,2,7,1,1,12,11,1,2,0,0,1,0.275862068965517,"80s"
"mcclubo01",1986,2,"MON","NL",52,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.25,"80s"
"mcgeewi01",1986,1,"SLN","NL",124,497,65,127,22,7,7,48,19,16,37,82,7,1,0,4,8,0.255533199195171,"80s"
"mcwilla01",1986,1,"PIT","NL",50,29,2,4,1,0,0,0,0,0,2,11,0,0,3,0,0,0.137931034482759,"80s"
"mintogr01",1986,1,"SFN","NL",48,5,2,2,1,0,0,0,0,0,2,3,0,0,0,0,0,0.4,"80s"
"mitchke01",1986,1,"NYN","NL",108,328,51,91,22,2,12,43,3,3,33,61,0,1,1,1,6,0.277439024390244,"80s"
"morriji01",1986,1,"PIT","NL",154,537,58,147,35,4,23,88,9,8,47,88,5,4,0,5,6,0.273743016759777,"80s"
"moyerja01",1986,1,"CHN","NL",16,22,3,2,0,0,0,0,0,0,4,5,0,0,4,0,1,0.0909090909090909,"80s"
"mulhote01",1986,1,"SFN","NL",15,19,0,1,0,0,0,0,0,0,0,8,0,0,1,0,0,0.0526315789473684,"80s"
"mumphje01",1986,1,"CHN","NL",111,309,37,94,11,2,5,32,2,3,26,45,4,0,1,3,3,0.3042071197411,"80s"
"murphda05",1986,1,"ATL","NL",160,614,89,163,29,7,29,83,7,7,75,141,5,2,0,1,10,0.265472312703583,"80s"
"myersra01",1986,1,"NYN","NL",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"nettlgr01",1986,1,"SDN","NL",126,354,36,77,9,0,16,55,0,1,41,62,8,2,0,3,6,0.217514124293785,"80s"
"oberkke01",1986,1,"ATL","NL",151,503,62,136,24,3,5,48,7,4,83,40,6,2,4,4,11,0.27037773359841,"80s"
"ojedabo01",1986,1,"NYN","NL",32,71,3,8,0,0,0,0,0,0,1,30,0,0,8,0,0,0.112676056338028,"80s"
"oneilpa01",1986,1,"CIN","NL",3,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"80s"
"oroscje01",1986,1,"NYN","NL",58,3,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,"80s"
"palmera01",1986,1,"CHN","NL",22,73,9,18,4,0,3,12,1,1,4,6,0,1,0,0,4,0.246575342465753,"80s"
"parenma01",1986,1,"SDN","NL",8,14,1,2,0,0,0,0,0,0,1,3,0,0,0,0,1,0.142857142857143,"80s"
"parkeda01",1986,1,"CIN","NL",162,637,89,174,31,3,31,116,1,6,56,126,16,1,0,6,18,0.273155416012559,"80s"
"penaal01",1986,1,"LAN","NL",24,17,0,3,0,0,0,1,0,0,0,6,0,0,3,0,0,0.176470588235294,"80s"
"penato01",1986,1,"PIT","NL",144,510,56,147,26,2,10,52,9,10,53,69,6,1,0,1,21,0.288235294117647,"80s"
"pendlte01",1986,1,"SLN","NL",159,578,56,138,26,5,1,59,24,6,34,59,10,1,6,7,12,0.238754325259516,"80s"
"perezto01",1986,1,"CIN","NL",77,200,14,51,12,1,2,29,0,0,25,25,2,0,0,3,6,0.255,"80s"
"powerte01",1986,1,"CIN","NL",56,24,3,3,1,0,0,1,1,0,3,12,0,0,3,0,0,0.125,"80s"
"puhlte01",1986,1,"HOU","NL",81,172,17,42,10,0,3,14,3,2,15,24,1,0,4,2,6,0.244186046511628,"80s"
"raineti01",1986,1,"MON","NL",151,580,91,194,35,10,9,62,70,9,78,60,9,2,1,3,6,0.33448275862069,"80s"
"readyra01",1986,2,"SDN","NL",1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"80s"
"reardje01",1986,1,"MON","NL",62,8,0,1,0,0,0,0,0,0,0,6,0,0,1,0,0,0.125,"80s"
"reuscri01",1986,1,"PIT","NL",43,70,7,11,2,0,0,6,0,0,3,19,0,0,8,0,0,0.157142857142857,"80s"
"reussje01",1986,1,"LAN","NL",19,20,0,5,1,0,0,0,0,0,1,6,0,0,0,0,0,0.25,"80s"
"reynocr01",1986,1,"HOU","NL",114,313,32,78,7,3,6,41,3,1,12,31,5,0,1,3,8,0.249201277955272,"80s"
"rhoderi01",1986,1,"PIT","NL",41,90,9,25,9,0,1,10,0,1,3,13,0,0,7,1,5,0.277777777777778,"80s"
"robindo01",1986,1,"PIT","NL",50,6,1,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0.666666666666667,"80s"
"rosepe01",1986,1,"CIN","NL",72,237,15,52,8,2,0,25,3,0,30,31,0,4,0,1,2,0.219409282700422,"80s"
"roystje01",1986,1,"SDN","NL",118,257,31,66,12,0,5,26,3,5,32,45,3,0,6,3,6,0.256809338521401,"80s"
"russebi01",1986,1,"LAN","NL",105,216,21,54,11,0,0,18,7,0,15,23,2,2,7,2,6,0.25,"80s"
"ruthvdi01",1986,1,"CHN","NL",6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"80s"
"ryanno01",1986,1,"HOU","NL",30,59,1,6,0,0,0,5,0,1,1,22,0,0,3,0,2,0.101694915254237,"80s"
"samueju01",1986,1,"PHI","NL",145,591,90,157,36,12,16,78,42,14,26,142,3,8,1,7,8,0.265651438240271,"80s"
"sandbry01",1986,1,"CHN","NL",154,627,68,178,28,5,14,76,34,11,46,79,6,0,3,6,11,0.283891547049442,"80s"
"sandesc01",1986,1,"CHN","NL",38,51,1,3,1,0,0,2,0,0,0,23,0,1,6,0,0,0.0588235294117647,"80s"
"santibe01",1986,1,"SDN","NL",17,62,10,18,2,0,3,6,0,1,2,12,0,0,0,1,0,0.290322580645161,"80s"
"schatda01",1986,1,"MON","NL",33,21,5,9,1,1,1,2,0,0,5,8,0,0,0,0,0,0.428571428571429,"80s"
"schatda01",1986,2,"PHI","NL",25,5,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0.2,"80s"
"schmimi01",1986,1,"PHI","NL",160,552,97,160,29,1,37,119,1,2,89,84,25,7,0,9,8,0.289855072463768,"80s"
"simmote01",1986,1,"ATL","NL",76,127,14,32,5,0,4,25,1,0,12,14,5,1,0,4,1,0.251968503937008,"80s"
"smithle02",1986,1,"CHN","NL",66,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,"80s"
"smithoz01",1986,1,"SLN","NL",153,514,67,144,19,4,0,54,31,7,79,27,13,2,11,3,9,0.280155642023346,"80s"
"smithza01",1986,1,"ATL","NL",43,59,2,5,0,0,0,3,0,0,2,19,0,0,9,0,0,0.0847457627118644,"80s"
"speiech01",1986,1,"CHN","NL",95,155,21,44,8,0,6,23,2,2,15,32,3,1,4,1,4,0.283870967741935,"80s"
"spilmha01",1986,2,"SFN","NL",58,94,12,27,7,0,2,22,0,0,12,13,3,0,0,0,0,0.287234042553192,"80s"
"stewada01",1986,1,"PHI","NL",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"strawda01",1986,1,"NYN","NL",136,475,76,123,27,5,27,93,28,12,72,141,9,6,0,9,4,0.258947368421053,"80s"
"sutclri01",1986,1,"CHN","NL",29,53,3,11,2,0,1,4,0,0,2,13,0,1,4,0,1,0.207547169811321,"80s"
"tekulke01",1986,1,"PHI","NL",73,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,"80s"
"templga01",1986,1,"SDN","NL",147,510,42,126,21,2,2,44,10,5,35,86,21,1,1,2,12,0.247058823529412,"80s"
"thompmi02",1986,1,"PHI","NL",96,299,38,75,7,1,6,23,19,4,26,62,1,1,4,2,4,0.250836120401338,"80s"
"thondi01",1986,1,"HOU","NL",106,278,24,69,13,1,3,21,6,5,29,49,5,0,1,1,8,0.248201438848921,"80s"
"trevial01",1986,1,"LAN","NL",89,202,31,53,13,0,4,26,0,0,27,35,2,1,2,1,6,0.262376237623762,"80s"
"trillma01",1986,1,"CHN","NL",81,152,22,45,10,0,1,19,0,2,16,21,0,0,2,2,2,0.296052631578947,"80s"
"valenfe01",1986,1,"LAN","NL",39,109,5,24,4,0,0,7,0,0,0,11,0,0,6,1,1,0.220183486238532,"80s"
"wallati01",1986,1,"MON","NL",134,480,50,112,22,1,18,71,8,4,44,72,8,10,0,5,16,0.233333333333333,"80s"
"wallide01",1986,1,"HOU","NL",130,382,54,119,23,1,13,58,1,1,36,31,5,0,0,4,8,0.31151832460733,"80s"
"washicl01",1986,1,"ATL","NL",40,137,17,37,11,0,5,14,4,7,14,26,0,0,1,1,4,0.27007299270073,"80s"
"webstmi01",1986,1,"MON","NL",151,576,89,167,31,13,8,49,36,15,57,78,4,4,3,5,9,0.289930555555556,"80s"
"welchbo01",1986,1,"LAN","NL",35,76,2,8,0,0,1,4,0,0,4,23,0,1,5,0,0,0.105263157894737,"80s"
"whitsed01",1986,2,"SDN","NL",17,18,1,3,0,0,0,0,0,0,0,8,0,0,2,0,0,0.166666666666667,"80s"
"wohlfji01",1986,1,"MON","NL",70,94,10,25,4,2,1,11,0,2,9,17,3,0,2,1,2,0.265957446808511,"80s"
"youngjo02",1986,1,"SFN","NL",97,184,20,47,12,0,5,28,1,1,18,34,0,1,2,3,2,0.255434782608696,"80s"
"alexado01",1987,2,"DET","AL",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"baineha01",1987,1,"CHA","AL",132,505,59,148,26,4,20,93,0,0,46,82,2,1,0,2,12,0.293069306930693,"80s"
"bannifl01",1987,1,"CHA","AL",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"baylodo01",1987,1,"BOS","AL",108,339,64,81,8,0,16,57,5,2,40,47,3,24,0,6,10,0.238938053097345,"80s"
"baylodo01",1987,2,"MIN","AL",20,49,3,14,1,0,0,6,0,1,5,12,0,4,0,0,3,0.285714285714286,"80s"
"bellja01",1987,1,"CLE","AL",38,125,14,27,9,1,2,13,2,0,8,31,0,1,3,0,0,0.216,"80s"
"beniqju01",1987,1,"KCA","AL",57,174,14,41,7,0,3,26,0,0,11,26,1,1,2,2,9,0.235632183908046,"80s"
"beniqju01",1987,2,"TOR","AL",39,81,6,23,5,1,5,21,0,0,5,13,0,1,0,1,3,0.283950617283951,"80s"
"berenju01",1987,1,"MIN","AL",47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"bergmda01",1987,1,"DET","AL",91,172,25,47,7,3,6,22,0,1,30,23,4,1,1,3,1,0.273255813953488,"80s"
"blackbu02",1987,1,"KCA","AL",29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"blylebe01",1987,1,"MIN","AL",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"boddimi01",1987,1,"BAL","AL",34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"boggswa01",1987,1,"BOS","AL",147,551,108,200,40,6,24,89,1,3,105,48,19,2,1,8,13,0.362976406533575,"80s"
"boonebo01",1987,1,"CAL","AL",128,389,42,94,18,0,3,33,0,2,35,36,0,1,14,3,10,0.241645244215938,"80s"
"bosleth01",1987,1,"KCA","AL",80,140,13,39,6,1,1,16,0,0,9,26,2,0,1,2,2,0.278571428571429,"80s"
"brettge01",1987,1,"KCA","AL",115,427,71,124,18,2,22,78,6,3,72,47,14,1,0,8,10,0.2903981264637,"80s"
"brunato01",1987,1,"MIN","AL",155,532,83,138,22,2,32,85,11,11,74,104,5,4,0,4,12,0.259398496240602,"80s"
"bucknbi01",1987,1,"BOS","AL",75,286,23,78,6,1,2,42,1,3,13,19,1,0,0,5,10,0.272727272727273,"80s"
"bucknbi01",1987,2,"CAL","AL",57,183,16,56,12,1,3,32,1,0,9,7,1,0,1,1,3,0.306010928961749,"80s"
"buhneja01",1987,1,"NYA","AL",7,22,0,5,2,0,0,1,0,0,1,6,0,0,0,0,1,0.227272727272727,"80s"
"burksel01",1987,1,"BOS","AL",133,558,94,152,30,2,20,59,27,6,41,98,0,2,4,1,1,0.272401433691756,"80s"
"burrira01",1987,1,"ML4","AL",10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"butlebr01",1987,1,"CLE","AL",137,522,91,154,25,8,9,41,33,16,91,55,0,1,2,2,3,0.295019157088123,"80s"
"candejo01",1987,1,"CAL","AL",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"candito01",1987,1,"CLE","AL",32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"cansejo01",1987,1,"OAK","AL",159,630,81,162,35,3,31,113,15,3,50,157,2,2,0,9,16,0.257142857142857,"80s"
"carltst01",1987,1,"CLE","AL",23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"carltst01",1987,2,"MIN","AL",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"cartejo01",1987,1,"CLE","AL",149,588,83,155,27,2,32,106,31,6,27,105,6,9,1,4,8,0.263605442176871,"80s"
"ceronri01",1987,1,"NYA","AL",113,284,28,69,12,1,4,23,0,1,30,46,0,4,5,4,8,0.242957746478873,"80s"
"ceyro01",1987,1,"OAK","AL",45,104,12,23,6,0,4,11,0,0,22,32,1,1,0,1,4,0.221153846153846,"80s"
"clancji01",1987,1,"TOR","AL",37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
"clemero02",1987,1,"BOS","AL",36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"80s"
